id,title,year_start,year_end,latitude,longitude,theme,layer_type,route_id,route_name,route_description,route_duration_min,route_cover_image_url,route_order,summary_explorer,summary_deepdive,summary_bts,what_to_notice,did_you_know,source_url,image_url,audio_url,contributor_name,contributor_type
101,Dam Square Origins,1270,1300,52.3731,4.8922,trade,spatial,R1,"Canals, Trade & Power","Follow Amsterdam’s waterways to see how water control became trade power—and how infrastructure quietly shaped the city’s identity.",45,assets/route_r1.jpg,1,"This square began as a dam in the river Amstel—a simple structure that sparked a city.","The original dam controlled water flow and enabled trade, anchoring early settlement and market life around reliability and access.","Hydraulic infrastructure is governance: controlling water shaped taxation, commerce, and long-term planning capacity.","Notice how infrastructure becomes a social magnet.","The word Amsterdam comes from the Amstel dam.",https://example.org/damsquare,assets/stops/damsquare.jpg,assets/audio/101.mp3,Amsterdam City Archive,archive
102,Oude Kerk,1306,1306,52.3743,4.8970,religion,institutional,R1,"Canals, Trade & Power","Follow Amsterdam’s waterways to see how water control became trade power—and how infrastructure quietly shaped the city’s identity.",45,assets/route_r1.jpg,2,"The city’s oldest building watched merchants and sailors pass.","Churches organized time, identity, and social stability in trade cities.","Religious institutions were administrative infrastructure tied to civic authority.","Look for how sacred spaces anchor civic life.","It sits today in the Red Light District—layers of meaning coexist.",https://example.org/oudekerk,assets/stops/oudekerk.jpg,,Amsterdam Museum,museum
103,VOC Headquarters Area,1602,1799,52.3718,4.9009,trade,economic,R1,"Canals, Trade & Power","Follow Amsterdam’s waterways to see how water control became trade power—and how infrastructure quietly shaped the city’s identity.",45,assets/route_r1.jpg,3,"Ships sailed from here toward Asia—and wealth returned.","The VOC combined maritime logistics, finance, and imperial networks.","Joint-stock governance and risk pooling shaped modern corporate structures.","Trade relies on systems like contracts and accounting.","Often described as the first multinational corporation.",https://example.org/voc,assets/stops/voc.jpg,,National Maritime Museum,museum
104,Canal Ring Expansion,1613,1662,52.3667,4.9000,trade,spatial,R1,"Canals, Trade & Power","Follow Amsterdam’s waterways to see how water control became trade power—and how infrastructure quietly shaped the city’s identity.",45,assets/route_r1.jpg,4,"The canals were an economic machine.","Urban expansion supported commerce and housing.","Spatial planning encoded economic hierarchy.","Notice how movement is guided by design.","The canal ring is now UNESCO heritage.",https://example.org/canals,assets/stops/canals.jpg,,Amsterdam City Archive,archive
105,Westerkerk Completion,1631,1631,52.3745,4.8830,religion,political,R1,"Canals, Trade & Power","Follow Amsterdam’s waterways to see how water control became trade power—and how infrastructure quietly shaped the city’s identity.",45,assets/route_r1.jpg,5,"Its tower defined the skyline.","Architecture signals ideological shifts.","Monuments stage authority publicly.","Look at how skyline equals identity.","Rembrandt is buried here.",https://example.org/westerkerk,assets/stops/westerkerk.jpg,,Amsterdam Museum,museum
201,Spui Printing Presses,1580,1700,52.3699,4.8897,culture,institutional,R2,"Streets of Change","Walk through spaces where ideas reshaped everyday life.",50,assets/route_r2.jpg,1,"Ideas moved quickly here.","Printing scaled persuasion and debate.","Information became civic infrastructure.","Notice how culture shapes governance.","Amsterdam attracted thinkers due to tolerance.",https://example.org/spui,assets/stops/spui.jpg,,Local Historian,community
202,Jewish Quarter Migration Node,1600,1800,52.3680,4.9075,migration,social,R2,"Streets of Change","Walk through spaces where ideas reshaped everyday life.",50,assets/route_r2.jpg,2,"Families arrived seeking safety.","Communities shaped commerce and philosophy.","Migration encodes resilience networks.","Look for cultural traces in food and language.","History here holds both refuge and tragedy.",https://example.org/jewishquarter,assets/stops/jewishquarter.jpg,,Amsterdam Museum,museum
203,February Strike Site,1941,1941,52.3735,4.8924,conflict,political,R2,"Streets of Change","Walk through spaces where ideas reshaped everyday life.",50,assets/route_r2.jpg,3,"Workers protested occupation.","A rare public stand against Nazi persecution.","Collective action becomes counter-infrastructure.","Streets become ethical stages.","Commemorated annually.",https://example.org/febstrike,assets/stops/febstrike.jpg,assets/audio/203.mp3,Amsterdam City Archive,archive
204,Provo Movement Site,1965,1967,52.3702,4.8952,governance,social,R2,"Streets of Change","Walk through spaces where ideas reshaped everyday life.",50,assets/route_r2.jpg,4,"Youth activism reshaped public space.","Playful protest influenced policy debates.","Urban space became political theater.","Humor weakens rigid authority.","Influenced environmental policy debates.",https://example.org/provo,assets/stops/provo.jpg,,Local Historian,community
205,Same-Sex Marriage Legalization,2001,2001,52.3731,4.8922,governance,political,R2,"Streets of Change","Walk through spaces where ideas reshaped everyday life.",50,assets/route_r2.jpg,5,"A historic equality milestone.","Netherlands first legalized same-sex marriage.","Law reflects shifting civic norms.","Rights reshape daily life.","Amsterdam became LGBTQ+ symbol.",https://example.org/marriage,assets/stops/marriage.jpg,,Amsterdam Museum,museum
301,Athenaeum Illustre,1632,1632,52.3686,4.8896,science,institutional,R3,"Knowledge & Culture","Explore how knowledge institutions shape what a city remembers.",60,assets/route_r3.jpg,1,"Students debated the world.","Foundation of higher education prestige.","Universities gatekeep public truth.","Notice universities shape civic futures.","UVA traces roots here.",https://example.org/uva,assets/stops/uva.jpg,,University Archive,archive
302,Rijksmuseum Opening,1885,1885,52.3600,4.8852,culture,institutional,R3,"Knowledge & Culture","Explore how knowledge institutions shape what a city remembers.",60,assets/route_r3.jpg,2,"Art and identity under one roof.","Museums curate national narrative.","Curation equals institutional authority.","Look at what is centered.","Renovated in 21st century.",https://example.org/rijksmuseum,assets/stops/rijksmuseum.jpg,,Rijksmuseum,museum
303,Anne Frank House,1947,1947,52.3752,4.8839,conflict,social,R3,"Knowledge & Culture","Explore how knowledge institutions shape what a city remembers.",60,assets/route_r3.jpg,3,"A hidden annex became global memory.","Memorial site mediates trauma into education.","Memory becomes infrastructure.","Silence can carry weight.","Major Holocaust education site.",https://example.org/annefrank,assets/stops/annefrank.jpg,assets/audio/303.mp3,Anne Frank Foundation,foundation
304,Paradiso Venue,1968,1968,52.3623,4.8835,culture,social,R3,"Knowledge & Culture","Explore how knowledge institutions shape what a city remembers.",60,assets/route_r3.jpg,4,"A church became a music temple.","Cultural experimentation reshaped identity.","Adaptive reuse reflects institutional evolution.","Past overlays present.","Symbol of youth culture shifts.",https://example.org/paradiso,assets/stops/paradiso.jpg,,Local Cultural Org,community
305,Amsterdam Science Park,2000,2010,52.3549,4.9544,science,spatial,R3,"Knowledge & Culture","Explore how knowledge institutions shape what a city remembers.",60,assets/route_r3.jpg,5,"Modern labs shape the future.","Clustered research drives knowledge economy.","Spatial planning attracts talent.","Future has physical form.","Science parks reshape housing and transit.",https://example.org/sciencepark,assets/stops/sciencepark.jpg,,University Archive,archive